parameter,peer number,instance,avg,med,max,min
cpu,2,crdt-ws,0.1203710743801653,0.0,1.0001,0.0
cpu,2,crdt-p2p,0.008973553719008265,0.0,0.7992,0.0
cpu,2,ot-ws,0.38913553719008265,0.0,1.9997,0.0
cpu-peers,2,peer-2-crdt-cs,1.3929487603305786,1.0,32.1678,0.0
cpu-peers,2,peer-1-crdt-cs,1.2557363636363639,1.0001,19.1023,0.0
cpu-peers,2,peer-2-crdt-p2p,1.330860330578512,1.0,30.1579,0.0
cpu-peers,2,peer-1-crdt-p2p,1.752112396694215,1.1122,26.0962,0.0
cpu-peers,2,peer-2-ot,2.6092066115702486,2.1433,29.1556,0.0
cpu-peers,2,peer-1-ot,3.4359661157024792,3.0013,11.0673,0.7142
mem,2,crdt-ws,0.4778212561983476,0.46875,1.078125,-0.28906299999999874
mem,2,crdt-p2p,0.0,0.0,0.0,0.0
mem,2,ot-ws,3.3527602479338854,3.7265700000000024,4.667970000000004,0.0
mem-peers,2,peer-1-crdt-cs,1.4688132231405018,1.5664000000000158,3.0235000000000127,-0.375
mem-peers,2,peer-2-crdt-cs,3.266646280991743,3.640599999999978,4.468699999999984,0.24609999999998422
mem-peers,2,peer-1-crdt-p2p,2.319352066115708,2.191400000000016,4.148400000000009,0.1600999999999999
mem-peers,2,peer-2-crdt-p2p,2.6717586776859403,2.757800000000003,4.570300000000003,0.3593999999999937
mem-peers,2,peer-1-ot,1.9132033057851143,2.023399999999981,3.5272999999999968,-0.375
mem-peers,2,peer-2-ot,2.85259917355371,3.042999999999978,4.785200000000003,0.23439999999999372
network-in,2,crdt-ws,19.336720322314047,18.33394,48.34787,8.767223
network-in,2,crdt-p2p,10.209106876033056,8.872487,39.6251,8.765826
network-in,2,ot-ws,82.60873437190084,92.36305,136.65625,15.535871
network-in-peers,2,peer-2-crdt-cs,11.3202953553719,10.48063,39.24859,8.767712
network-in-peers,2,peer-1-crdt-cs,10.835115661157024,10.375177,21.10673,8.746489
network-in-peers,2,peer-2-crdt-p2p,13.59100017355372,13.093469,39.25655,8.768127
network-in-peers,2,peer-1-crdt-p2p,13.173472685950411,13.051019,24.61114,8.747547
network-in-peers,2,peer-2-ot,19.417071487603305,20.04861,49.61803,9.519289
network-in-peers,2,peer-1-ot,19.19449561983471,20.04363,30.06545,9.519709
network-out,2,crdt-ws,-18.551066975206613,-18.07316,-8.767223,-30.7875
network-out,2,crdt-p2p,-9.493222454545453,-8.872487,-8.765826,-16.152435
network-out,2,ot-ws,-75.93779085123968,-84.81308,-14.383881,-126.18225
network-out-peers,2,peer-2-crdt-cs,-10.761287041322316,-10.579852,-8.767712,-16.445441
network-out-peers,2,peer-1-crdt-cs,-10.562652842975208,-10.387451,-8.746489,-13.332088
network-out-peers,2,peer-2-crdt-p2p,-12.924950661157025,-12.985029,-8.768127,-22.21188
network-out-peers,2,peer-1-crdt-p2p,-12.828216438016527,-13.028406,-8.747547,-17.4577
network-out-peers,2,peer-2-ot,-21.860510181818178,-23.38845,-10.095246,-40.04483
network-out-peers,2,peer-1-ot,-21.976890314049587,-23.32445,-10.095692,-32.21156
cpu,4,crdt-ws,0.3312933884297521,0.0,2.0,0.0
cpu,4,crdt-p2p,0.013773553719008264,0.0,1.0,0.0
cpu,4,ot-ws,0.6763809917355372,0.6666,3.0,0.0
cpu-peers,4,peer-2-crdt-cs,1.3770727272727274,1.0,32.2268,0.0
cpu-peers,4,peer-1-crdt-cs,2.248150413223141,1.9998,33.7631,0.0
cpu-peers,4,peer-2-crdt-p2p,2.630018181818182,2.1429,40.1494,0.0
cpu-peers,4,peer-1-crdt-p2p,3.1722933884297517,2.9998,23.1108,0.0
cpu-peers,4,peer-2-ot,4.3612322314049585,4.0009,36.5994,0.0
cpu-peers,4,peer-1-ot,5.167257851239668,5.0109,18.0907,0.0
mem,4,crdt-ws,0.6685826280991739,0.45312600000000103,1.8320319999999999,-0.26953099999999885
mem,4,crdt-p2p,0.21145586776859562,0.09766000000000119,1.9140599999999992,0.0
mem,4,ot-ws,2.390755537190079,2.550779999999996,3.4101599999999976,0.0
mem-peers,4,peer-1-crdt-cs,3.675743801652902,3.7851000000000283,5.847600000000028,0.11710000000002196
mem-peers,4,peer-2-crdt-cs,1.6277553719008386,1.7227000000000032,3.218800000000016,-0.2265999999999906
mem-peers,4,peer-1-crdt-p2p,1.6470198347107339,1.4687999999999874,3.746099999999984,-0.23040000000000305
mem-peers,4,peer-2-crdt-p2p,1.9988074380165415,1.9414000000000158,3.531300000000016,0.375
mem-peers,4,peer-1-ot,4.114657024793397,4.406300000000016,5.984400000000022,0.3906000000000063
mem-peers,4,peer-2-ot,4.0131008264462675,4.144499999999994,6.593699999999984,0.23829999999998108
network-in,4,crdt-ws,41.999278528925615,42.72872,84.70619,8.767455
network-in,4,crdt-p2p,10.365830628099175,9.185854,20.47787,8.762058
network-in,4,ot-ws,235.3549056198347,272.5033,379.6477,22.30232
network-in-peers,4,peer-2-crdt-cs,12.526182479338845,12.239768,23.83774,8.768474
network-in-peers,4,peer-1-crdt-cs,12.756628991735536,12.073011,46.01386,8.765678
network-in-peers,4,peer-2-crdt-p2p,29.178347041322315,30.71219,61.81713,10.808151
network-in-peers,4,peer-1-crdt-p2p,29.565859603305782,30.6496,73.47505,9.613942
network-in-peers,4,peer-2-ot,26.29278361983471,28.70663,40.48844,9.526263
network-in-peers,4,peer-1-ot,26.903775595041324,28.80299,55.19557,9.526828
network-out,4,crdt-ws,-44.006113371900824,-44.89739,-8.767455,-86.41825
network-out,4,crdt-p2p,-9.971357314049587,-9.262994,-8.762058,-13.6864
network-out,4,ot-ws,-225.62849305785124,-261.2339,-19.9985,-371.4357
network-out-peers,4,peer-2-crdt-cs,-11.610253760330577,-11.565191,-8.768474,-14.928606
network-out-peers,4,peer-1-crdt-cs,-11.556033892561983,-11.508259,-8.765678,-20.18186
network-out-peers,4,peer-2-crdt-p2p,-28.879489099173554,-30.59287,-10.522741,-63.73408
network-out-peers,4,peer-1-crdt-p2p,-28.57115384297521,-30.38864,-9.707206,-72.27756
network-out-peers,4,peer-2-ot,-28.30627117355372,-31.26955,-10.102158,-40.83666
network-out-peers,4,peer-1-ot,-28.50992350413223,-31.21448,-10.102758,-40.40754
cpu,8,crdt-ws,0.8335446280991735,0.8342,3.9991,0.0
cpu,8,crdt-p2p,0.023001652892561984,0.0,0.8,0.0
cpu,8,ot-ws,1.4696611570247935,1.5,4.2002,0.0
cpu-peers,8,peer-2-crdt-cs,2.1059652892561984,1.998,34.1001,0.0
cpu-peers,8,peer-1-crdt-cs,2.526742975206611,2.3998,19.13,0.0
cpu-peers,8,peer-2-crdt-p2p,5.888342975206611,5.9254,40.2243,0.0
cpu-peers,8,peer-1-crdt-p2p,6.998557024793389,7.0013,27.9694,0.7138
cpu-peers,8,peer-2-ot,7.248247107438017,7.0042,41.1452,0.0
cpu-peers,8,peer-1-ot,8.157534710743802,8.3064,24.0381,0.572
mem,8,crdt-ws,2.626646694214875,2.8242189999999994,4.0625,-0.23828100000000063
mem,8,crdt-p2p,0.2520018429752074,0.24609400000000115,0.5039069999999999,0.0
mem,8,ot-ws,3.3326153719008222,3.6406299999999945,3.886719999999997,0.2578199999999953
mem-peers,8,peer-1-crdt-cs,2.6790297520661257,2.5899,4.843800000000016,-0.015599999999977854
mem-peers,8,peer-2-crdt-cs,2.8613074380165386,2.8359000000000094,4.9101,0.37110000000001264
mem-peers,8,peer-1-crdt-p2p,6.439391735537179,5.7187999999999874,11.515699999999981,0.49610000000001264
mem-peers,8,peer-2-crdt-p2p,5.528509917355383,4.730500000000006,9.757800000000003,0.37110000000001264
mem-peers,8,peer-1-ot,13.234131404958667,13.913999999999987,21.453099999999978,0.30469999999999686
mem-peers,8,peer-2-ot,12.137695041322322,12.824200000000019,18.382800000000003,-0.015699999999981173
network-in,8,crdt-ws,126.75370131404958,130.46654,238.6887,8.766873
network-in,8,crdt-p2p,11.904389561983471,10.5848,39.32127,8.766557
network-in,8,ot-ws,736.3965262809917,832.7939,1037.2076,35.84202
network-in-peers,8,peer-2-crdt-cs,15.617805900826447,15.795248,30.20095,8.767039
network-in-peers,8,peer-1-crdt-cs,15.84501596694215,15.480684,42.90726,8.766824
network-in-peers,8,peer-2-crdt-p2p,91.21342685123969,97.28467,177.5433,12.532373
network-in-peers,8,peer-1-crdt-p2p,90.12635525619834,93.95485,174.3211,12.427215
network-in-peers,8,peer-2-ot,40.17591785950414,43.67134,74.86025,9.527839
network-in-peers,8,peer-1-ot,39.806748206611566,43.44323,56.28282,9.527216
network-out,8,crdt-ws,-141.2795649256198,-146.0209,-8.766873,-293.1023
network-out,8,crdt-p2p,-11.104756347107438,-10.177706,-8.766557,-22.59791
network-out,8,ot-ws,-738.8628253719008,-838.1383,-31.23376,-1041.8571
network-out-peers,8,peer-2-crdt-cs,-13.377106801652891,-13.498799,-8.767039,-17.8524
network-out-peers,8,peer-1-crdt-cs,-13.308435330578511,-13.522415,-8.766824,-20.21783
network-out-peers,8,peer-2-crdt-p2p,-90.39277424793387,-95.77383,-12.453686,-175.8382
network-out-peers,8,peer-1-crdt-p2p,-90.52528786776858,-94.89303,-12.153718,-173.25
network-out-peers,8,peer-2-ot,-39.28329016528925,-42.9353,-10.102916,-53.98731
network-out-peers,8,peer-1-ot,-38.95198698347107,-42.18239,-10.103168,-53.17583
