time,received,sent
1667416222,26.24924,-23.16173
1667416221,26.13437,-27.36571
1667416220,25.92842,-30.61713
1667416219,26.14927,-27.308
1667416218,26.65511,-49.73089
1667416217,27.59038,-74.22235
1667416216,27.8862,-53.37161
1667416215,25.92698,-23.0471
1667416214,25.92366,-23.04414
1667416213,26.0509,-23.15975
1667416212,26.15895,-23.25789
1667416211,25.93034,-23.05008
1667416210,25.93014,-23.0499
1667416209,25.92727,-23.04735
1667416208,25.92339,-23.0439
1667416207,25.92781,-23.04783
1667416206,25.92745,-23.04751
1667416205,25.92967,-23.04948
1667416204,25.93098,-23.05065
1667416203,26.18524,-23.30544
1667416202,31.05618,-24.3902
1667416201,34.72379,-24.75741
1667416200,26.34235,-23.255
1667416199,25.93138,-23.051
1667416198,25.92891,-23.04881
1667416197,25.92746,-23.04752
1667416196,25.92929,-23.04914
1667416195,25.92681,-23.04694
1667416194,25.92377,-23.04424
1667416193,25.92872,-23.04864
1667416192,25.92734,-23.04741
1667416191,25.92786,-23.04788
1667416190,30.58037,-23.91191
1667416189,34.5009,-24.64121
1667416188,26.07851,-23.19806
1667416187,26.32098,-23.42977
1667416186,26.15578,-23.25508
1667416185,25.92952,-23.04936
1667416184,26.04956,-23.15856
1667416183,26.15556,-23.25488
1667416182,25.92838,-23.04834
1667416181,25.93064,-23.05035
1667416180,25.92781,-23.04783
1667416179,25.92803,-23.04803
1667416178,26.15203,-23.15952
1667416177,26.34132,-23.25412
1667416176,25.92421,-23.04463
1667416175,25.93112,-23.05078
1667416174,26.14993,-23.42739
1667416173,26.59146,-24.00175
1667416172,26.40523,-23.5252
1667416171,25.92751,-23.04756
1667416170,25.92949,-23.04933
1667416169,25.92851,-23.04845
1667416168,25.92597,-23.04619
1667416167,25.92885,-23.04876
1667416166,26.19819,-23.27315
1667416165,26.42471,-23.46188
1667416164,25.92663,-23.04678
1667416163,25.92589,-23.04613
1667416162,25.92667,-23.04681
1667416161,26.04127,-23.16119
1667416160,26.13468,-23.25476
1667416159,25.92968,-23.04949
1667416158,26.07747,-23.19713
1667416157,26.19528,-23.31553
1667416156,26.0734,-23.15973
1667416155,26.20131,-23.25868
1667416154,25.92729,-23.04737
1667416153,25.92943,-23.04927
1667416152,25.92642,-23.0466
1667416151,25.92392,-23.04438
1667416150,26.05145,-23.16023
1667416149,26.15632,-23.25556
1667416148,25.92855,-23.04849
1667416147,25.9291,-23.04898
1667416146,25.92715,-23.04724
1667416145,25.92642,-23.04659
1667416144,25.93051,-23.05023
1667416143,26.20028,-23.3088
1667416142,31.07941,-24.39175
1667416141,34.49678,-24.64387
1667416140,25.92952,-23.04935
1667416139,25.92869,-23.04861
1667416138,25.92591,-23.04614
1667416137,25.93007,-23.04984
1667416136,25.92834,-23.0483
1667416135,25.9225,-23.04311
1667416134,25.92862,-23.04855
1667416133,25.93149,-23.0511
1667416132,25.92853,-23.04847
1667416131,25.92925,-23.04911
1667416130,30.58183,-23.91172
1667416129,34.7169,-25.01681
1667416128,26.47605,-23.88666
1667416127,26.19628,-23.31642
1667416126,25.92985,-23.04965
1667416125,25.93008,-23.04985
1667416124,25.92879,-23.0487
1667416123,25.92654,-23.0467
1667416122,25.92939,-23.04923
1667416121,26.05324,-23.16182
1667416120,26.15553,-23.25486
1667416119,25.92909,-23.04897
1667416118,25.92759,-23.04764
1667416117,25.922,-23.04267
1667416116,25.93089,-23.05057
1667416115,26.04406,-23.16368
1667416114,26.13488,-23.25493
1667416113,26.07305,-23.19321
1667416112,26.31207,-23.43187
1667416111,26.1363,-23.25619
1667416110,25.92663,-23.04678
1667416109,25.92722,-23.04731
1667416108,25.92691,-23.04703
1667416107,25.92053,-23.04042
1667416106,25.90186,-23.02209
1667416105,25.89991,-23.02037
1667416104,25.90381,-23.02383
1667416103,25.90686,-23.02654
1667416102,25.90667,-23.02638
1667416101,83.64515,-74.20052
1667416100,280.0538,-248.3773
1667416099,479.0391,-425.1037
1667416098,553.5152,-491.3348
1667416097,661.5323,-587.0871
1667416096,816.1216,-724.8113
1667416095,816.3583,-724.8605
1667416094,839.0964,-744.2867
1667416093,950.7728,-844.1762
1667416092,1075.4695,-954.8337
1667416091,1085.2631,-963.7738
1667416090,46137.2,-24089.37
1667416089,83953.55,-43465.66
1667416088,63344.3,-32293.42
1667416087,141785.21,-72203.61
1667416086,107333.44,-54972.61
1667416085,184918.8,-93864.32
1667416084,191582,-97640.49
1667416083,225350.8,-114127.16
1667416082,346271.3,-175219.5
1667416081,289504.1,-145941.88
1667416080,241670.8,-123130.78
1667416079,232472.8,-119553.85
1667416078,243968.1,-123146.36
1667416077,205190.8,-103552.52
1667416076,209135.1,-105502.06
1667416075,312588.9,-157679.48
1667416074,254845.5,-128879.59
1667416073,161004.52,-81537.4
1667416072,225624.8,-113345.85
1667416071,298700.5,-150746.84
1667416070,294787.2,-148785.69
1667416069,217055.4,-109568.54
1667416068,186078,-93938.82
1667416067,221723.4,-111784.62
1667416066,248263.9,-125181.16
1667416065,246594.2,-124421.09
1667416064,246440.1,-124291.89
1667416063,266573,-134440.56
1667416062,271871.8,-137224.65
1667416061,234475.6,-118335.27
1667416060,282783.4,-142667.06
1667416059,283576.7,-143131.89
1667416058,242157.5,-122184.83
1667416057,238033,-120090.86
1667416056,237500.3,-119827.61
1667416055,241247.5,-121691.58
1667416054,235273.1,-118742.29
1667416053,246126.2,-124181.4
1667416052,242030.6,-122066.3
1667416051,245372,-123851.97
1667416050,250679.3,-126522.84
1667416049,262450.2,-132428.73
1667416048,254306.4,-128209.8
1667416047,270611.9,-136429.52
1667416046,230717.5,-116424.24
1667416045,220350.7,-111146.74
1667416044,226591,-114330.53
1667416043,249228.3,-125808.1
1667416042,230308.1,-116260.11
1667416041,248799.2,-125756.79
1667416040,247064.8,-125299.76
1667416039,233036.6,-117811.91
1667416038,294038.4,-147776.62
1667416037,206199.9,-104046.64
1667416036,196134.9,-99012.29
1667416035,250300.9,-126349.45
1667416034,262469.7,-132458.63
1667416033,296259.4,-149418.12
1667416032,383293.1,-193277.6
1667416031,459367.3,-231688.2
1667416030,452498.1,-228174.9
1667416029,401174.7,-202277.8
1667416028,408653.4,-206026.5
1667416027,419100,-211225.6
1667416026,459687.6,-231773.9
1667416025,417580.5,-210541.2
1667416024,436009.7,-219791
1667416023,437696.2,-220674.2
1667416022,422572.9,-213177.7
1667416021,446888,-225215.4
1667416020,429098.8,-216389.2
1667416019,381139.5,-192374.8
1667416018,396464.1,-200007.1
1667416017,437615.5,-220048.1
1667416016,364550.3,-183899.3
1667416015,252205.3,-127497.88
1667416014,171948.2,-86807.43
1667416013,165580.04,-83575.93
1667416012,229905.6,-116047.96
1667416011,355776.8,-179498.9
1667416010,357881.4,-180334.8
1667416009,340889.8,-171904.5
1667416008,336019.7,-169443.5
1667416007,342297.9,-172627.6
1667416006,396247.4,-199951.6
1667416005,413920.5,-209002.4
1667416004,446785.8,-225164.7
1667416003,422434.9,-212966.3
1667416002,234227.3,-118336.21
1667416001,96295.09,-48753.83
1667416000,1846.412,-1238.1674
1667415999,1671.3347,-907.5329
1667415998,1669.5256,-907.6574
1667415997,1663.9718,-905.6267
1667415996,1720.157,-936.8955
1667415995,1935.152,-1048.1939
1667415994,2019.273,-1088.5675
1667415993,46490.58,-23580.32
1667415992,83914.09,-42566.47
1667415991,887.2462,-598.5241
1667415990,8.768091,-8.768091
1667415989,8.768284,-8.768284
1667415988,8.76894,-8.76894
1667415987,8.768668,-8.768668
1667415986,13951.81,-7038.367
1667415985,60066.55,-30345.63
1667415984,86393.64,-43721.18
1667415983,74419.34,-37670.45
1667415982,83508.07,-42246.08
1667415981,73751.16,-37334.72
1667415980,107551.89,-54377.8
1667415979,170820.1,-86260.69
1667415978,220673.2,-111359.31
1667415977,252623.7,-127462.62
1667415976,265656.5,-134001.58
1667415975,372038.1,-187564.1
1667415974,452728.2,-228157.1
1667415973,475971.1,-239909.5
1667415972,481756.9,-243221
1667415971,549725.3,-277844.6
1667415970,596328.2,-300753.2
1667415969,598250.2,-301763.7
1667415968,608808.8,-307020.4
1667415967,610152.5,-308019.6
1667415966,641285.3,-323717.6
1667415965,663384.6,-333775.3
1667415964,654182.1,-329946.2
1667415963,753719,-379934.1
1667415962,772876.3,-391457.5
1667415961,814281.8,-412344.5
1667415960,792486.5,-396963
1667415959,739130.1,-372921.6
1667415958,703137.1,-354856.5
1667415957,604406.3,-305901.1
1667415956,560041.7,-283252.5
1667415955,599479,-301544.3
1667415954,667994.1,-337258.4
1667415953,614361.2,-310286.8
1667415952,577752.7,-291950.7
1667415951,572294,-289447.7
1667415950,561458.4,-283833.9
1667415949,547652.4,-276720.2
1667415948,534067.5,-270149.6
1667415947,521084.1,-263098.1
1667415946,515946.1,-260809.6
1667415945,505333.2,-255450.9
1667415944,514535.3,-260107.8
1667415943,497435.9,-251515.4
1667415942,467368.5,-236325.4
1667415941,480373.8,-242873.1
1667415940,495445.7,-250613.5
1667415939,496109.7,-250984.6
1667415938,491650.9,-248632.7
1667415937,455018,-230161.5
1667415936,458553.2,-231932.2
1667415935,448506,-226988.1
1667415934,430833.9,-218160.6
1667415933,410024.5,-207691.8
1667415932,370743.1,-187883.2
1667415931,343100.2,-173954.4
1667415930,306329.8,-155581.32
1667415929,275698.5,-140209.93
1667415928,229309.3,-116837.62
1667415927,201346,-102781.45
1667415926,188020.3,-96143.89
1667415925,150266.83,-77129.46
1667415924,119916.47,-61874.42
1667415923,80131.94,-41941.73
1667415922,86260.16,-45071.33
1667415921,110822.6,-57467.84
1667415920,97501.59,-50686.27
1667415919,77227.32,-40566.98
1667415918,67655.21,-35859.42
1667415917,78382.02,-41321.34
1667415916,69087.52,-36680
1667415915,69787.6,-36996.94
1667415914,74514.27,-39400.83
1667415913,52019.64,-28126.73
1667415912,35215.34,-19754.97
1667415911,32411.43,-18384
1667415910,32556.29,-18425.27
1667415909,39248.72,-21777.62
1667415908,43030.66,-23677.99
1667415907,40631.74,-22476.49
1667415906,27744.4,-15987.852
1667415905,29745.35,-17027.9
1667415904,28596.22,-16372.935
1667415903,18359.49,-11152.119
1667415902,12293.9,-8136.571
1667415901,7018.352,-4996.228
1667415900,948.9262,-732.136
1667415899,35.966,-31.5859
1667415898,36.07219,-31.46367
1667415897,35.83747,-31.22979
1667415896,35.83843,-31.23063
1667415895,35.84183,-31.23359
1667415894,35.84189,-31.23365
1667415893,35.84225,-31.23396
1667415892,35.84145,-31.23327
1667415891,35.8361,-31.2286
1667415890,40.48822,-32.09237
1667415889,44.41104,-32.8235
1667415888,35.98878,-31.38047
1667415887,36.10901,-31.50109
1667415886,35.83987,-31.23189
1667415885,35.84417,-31.23563
1667415884,35.84094,-31.23282
1667415883,35.83513,-31.22775
1667415882,35.84096,-31.23284
1667415881,35.84599,-31.23722
1667415880,35.84178,-31.23356
1667415879,35.8373,-31.22964
1667415878,35.83879,-31.23095
1667415877,35.84104,-31.23291
1667415876,35.83584,-31.22837
1667415875,35.83933,-31.23142
1667415874,35.8449,-31.23627
1667415873,35.98351,-31.37588
1667415872,36.22252,-31.61448
1667415871,36.0506,-31.44218
1667415870,35.83896,-31.2311
1667415869,35.83998,-31.23198
